"foreignworker";"status";"credithistory";"purpose";"savings";"employmentsince";"otherdebtors";"property";"otherinstallments";"housing";"job";"phone";"duration";"creditamount";"installmentrate";"residencesince";"age";"numberofexsistingcredits";"numberofliablepeople";"gender";"creditworthy";"creditamout_per_month"
"yes";"< 200 Euro";"delay in paying off in the past";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"co-applicant";"real estate";"none";"rent";"skilled employee / official";"none";12;585;4;4;20;2;1;"male";"Worthy";48.75
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";24;2255;4;1;54;1;1;"male";"Worthy";93.95833333333333
"no";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";6;609;4;3;37;2;1;"female";"Worthy";101.5
"no";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"own";"unskilled - resident";"none";6;1361;2;4;40;1;2;"male";"Worthy";226.83333333333334
"yes";"no checking account";"critical account/";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"rent";"skilled employee / official";"yes, registered under the customers name";36;7127;2;4;23;2;1;"female";"Not Worthy";197.97222222222223
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"100 <= ... < 500 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";6;1203;3;2;43;1;1;"male";"Worthy";200.5
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";6;700;4;4;36;2;1;"male";"Worthy";116.66666666666667
"yes";"no checking account";"critical account/";"repairs";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";24;5507;3;4;44;2;1;"male";"Worthy";229.45833333333334
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";18;3190;2;2;24;1;1;"female";"Not Worthy";177.22222222222223
"yes";"< 0 Euro";"No credits taken";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";48;7119;3;4;53;2;2;"male";"Not Worthy";148.3125
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";24;3488;3;4;23;1;1;"female";"Worthy";145.33333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"real estate";"none";"own";"unskilled - resident";"none";18;1113;4;4;26;1;2;"female";"Worthy";61.833333333333336
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";26;7966;2;3;30;2;1;"male";"Worthy";306.38461538461536
"yes";"no checking account";"critical account/";"education";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";15;1532;4;3;31;1;1;"female";"Worthy";102.13333333333334
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";4;1503;2;1;42;2;2;"male";"Worthy";375.75
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"rent";"skilled employee / official";"none";36;2302;4;4;31;1;1;"male";"Not Worthy";63.94444444444444
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";6;662;3;4;41;1;2;"male";"Worthy";110.33333333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"education";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";36;2273;3;1;32;2;2;"male";"Worthy";63.138888888888886
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"rent";"skilled employee / official";"yes, registered under the customers name";15;2631;2;4;28;2;1;"female";"Not Worthy";175.4
"Unknown";"no checking account";"delay in paying off in the past";"car (used)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";12;1503;4;4;41;1;1;"male";"Worthy";125.25
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;1311;4;3;26;1;1;"male";"Worthy";54.625
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";24;3105;4;2;25;2;1;"male";"Worthy";129.375
"yes";">= 200 Euro";"critical account/";"education";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"rent";"skilled employee / official";"none";21;2319;2;1;33;1;1;"male";"Not Worthy";110.42857142857143
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"unemployed";"none";"building society savings agreement/ life insurance";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";6;1374;4;3;75;1;1;"female";"Worthy";229.0
"yes";"< 200 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";18;3612;3;4;37;1;1;"female";"Worthy";200.66666666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"management/ self-employed/ highly qualified employ";"none";48;7763;4;4;42;1;1;"male";"Not Worthy";161.72916666666666
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"stores";"own";"unskilled - resident";"none";18;3049;1;1;45;1;1;"female";"Worthy";169.38888888888889
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"rent";"skilled employee / official";"none";12;1534;1;1;23;1;1;"male";"Not Worthy";127.83333333333333
"yes";"no checking account";"delay in paying off in the past";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"yes, registered under the customers name";24;2032;4;4;60;2;1;"male";"Worthy";84.66666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";30;6350;4;4;31;1;1;"male";"Not Worthy";211.66666666666666
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";18;2864;2;1;34;1;2;"male";"Not Worthy";159.11111111111111
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;1255;4;4;61;2;1;"male";"Worthy";104.58333333333333
"yes";"< 0 Euro";"delay in paying off in the past";"car (new)";"... < 100 Euro";"unemployed";"none";"real estate";"none";"for free";"skilled employee / official";"none";24;1333;4;2;43;2;2;"male";"Not Worthy";55.541666666666664
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;2022;4;4;37;1;1;"female";"Worthy";84.25
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";24;1552;3;1;32;1;2;"male";"Worthy";64.66666666666667
"yes";"< 0 Euro";"all credits at this bank paid back duly";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"bank";"own";"unskilled - resident";"none";12;626;4;4;24;1;1;"female";"Not Worthy";52.166666666666664
"yes";"no checking account";"critical account/";"car (used)";"unknown/ no savings account";"4 <= ... < 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"yes, registered under the customers name";48;8858;2;1;35;2;1;"male";"Worthy";184.54166666666666
"yes";"no checking account";"critical account/";"repairs";"unknown/ no savings account";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;996;4;4;23;2;1;"female";"Worthy";83.0
"yes";"no checking account";"all credits at this bank paid back duly";"radio/television";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"bank";"own";"unskilled - resident";"none";6;1750;2;4;45;1;2;"male";"Worthy";291.6666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"guarantor";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;6999;1;1;34;2;1;"male";"Not Worthy";145.8125
"yes";"< 200 Euro";"critical account/";"car (new)";"100 <= ... < 500 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";12;1995;4;1;27;1;1;"male";"Worthy";166.25
"yes";"< 200 Euro";"existing credits paid back duly till now";"education";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";9;1199;4;4;67;2;1;"female";"Worthy";133.22222222222223
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"car or other";"stores";"own";"skilled employee / official";"none";12;1331;2;1;22;1;1;"male";"Not Worthy";110.91666666666667
"yes";"< 200 Euro";"No credits taken";"car (new)";"100 <= ... < 500 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";18;2278;3;3;28;2;1;"female";"Not Worthy";126.55555555555556
"yes";"no checking account";"No credits taken";"car (new)";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"yes, registered under the customers name";21;5003;1;4;29;2;1;"female";"Not Worthy";238.23809523809524
"yes";"< 0 Euro";"all credits at this bank paid back duly";"furniture/equipment";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";24;3552;3;4;27;1;1;"male";"Not Worthy";148.0
"yes";"< 200 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"own";"unskilled - resident";"none";18;1928;2;2;31;2;1;"male";"Not Worthy";107.11111111111111
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"yes, registered under the customers name";24;2964;4;4;49;1;2;"male";"Worthy";123.5
"yes";"< 0 Euro";"all credits at this bank paid back duly";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"guarantor";"car or other";"bank";"rent";"unskilled - resident";"none";24;1546;4;4;24;1;1;"male";"Not Worthy";64.41666666666667
"yes";">= 200 Euro";"delay in paying off in the past";"radio/television";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"none";6;683;2;1;29;1;1;"female";"Worthy";113.83333333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"yes, registered under the customers name";36;12389;1;4;37;1;1;"male";"Not Worthy";344.1388888888889
"yes";"< 200 Euro";"delay in paying off in the past";"business";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"bank";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;4712;4;2;37;2;1;"male";"Worthy";196.33333333333334
"yes";"< 200 Euro";"delay in paying off in the past";"radio/television";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"rent";"skilled employee / official";"yes, registered under the customers name";24;1553;3;2;23;2;1;"female";"Worthy";64.70833333333333
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";12;1372;2;3;36;1;1;"male";"Not Worthy";114.33333333333333
"yes";"no checking account";"critical account/";"radio/television";".. >= 1000 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";24;2578;2;2;34;1;1;"male";"Worthy";107.41666666666667
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;3979;4;1;41;2;2;"male";"Worthy";82.89583333333333
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;6758;3;2;31;1;1;"female";"Not Worthy";140.79166666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"rent";"unskilled - resident";"yes, registered under the customers name";24;3234;4;4;23;1;1;"female";"Not Worthy";134.75
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"co-applicant";"car or other";"none";"own";"skilled employee / official";"none";30;5954;3;2;38;1;1;"male";"Worthy";198.46666666666667
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";"unemployed";"none";"building society savings agreement/ life insurance";"none";"rent";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;5433;2;4;26;1;1;"female";"Worthy";226.375
"yes";"< 0 Euro";"existing credits paid back duly till now";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";15;806;4;4;22;1;1;"female";"Worthy";53.733333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"unskilled - resident";"none";9;1082;4;4;27;2;1;"male";"Worthy";120.22222222222223
"yes";"no checking account";"critical account/";"furniture/equipment";"... < 100 Euro";"4 <= ... < 7 years";"co-applicant";"car or other";"bank";"own";"skilled employee / official";"none";15;2788;2;3;24;2;1;"female";"Worthy";185.86666666666667
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;2930;2;1;27;1;1;"female";"Worthy";244.16666666666666
"yes";"no checking account";"critical account/";"education";"unknown/ no savings account";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;1927;3;2;33;2;1;"female";"Worthy";80.29166666666667
"yes";"< 200 Euro";"critical account/";"car (new)";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";36;2820;4;4;27;2;1;"male";"Not Worthy";78.33333333333333
"yes";"no checking account";"existing credits paid back duly till now";"retraining";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"unskilled - resident";"none";24;937;4;3;27;2;1;"male";"Worthy";39.041666666666664
"yes";"< 200 Euro";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"guarantor";"real estate";"bank";"own";"skilled employee / official";"none";18;1056;3;3;30;2;1;"male";"Not Worthy";58.666666666666664
"yes";"< 200 Euro";"critical account/";"car (new)";"... < 100 Euro";"... < 1 year";"none";"real estate";"bank";"own";"unskilled - resident";"none";12;3124;1;3;49;2;2;"male";"Worthy";260.3333333333333
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";9;1388;4;2;26;1;1;"female";"Worthy";154.22222222222223
"yes";"< 200 Euro";"existing credits paid back duly till now";"repairs";"... < 100 Euro";"... < 1 year";"none";"unknown / no property";"none";"rent";"unskilled - resident";"none";36;2384;4;1;33;1;1;"male";"Not Worthy";66.22222222222223
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;2133;4;4;52;1;1;"female";"Worthy";177.75
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"bank";"rent";"skilled employee / official";"none";18;2039;1;4;20;1;1;"female";"Not Worthy";113.27777777777777
"yes";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";9;2799;2;2;36;2;2;"male";"Worthy";311.0
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";12;1289;4;1;21;1;1;"male";"Worthy";107.41666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"domestic appliances";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";18;1217;4;3;47;1;1;"male";"Not Worthy";67.61111111111111
"yes";"< 0 Euro";"critical account/";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;2246;3;3;60;2;1;"male";"Not Worthy";187.16666666666666
"yes";"< 0 Euro";"critical account/";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";12;385;4;3;58;4;1;"female";"Worthy";32.083333333333336
"yes";"< 200 Euro";"delay in paying off in the past";"car (new)";"unknown/ no savings account";"1 <= ... < 4 years";"none";"car or other";"none";"rent";"skilled employee / official";"yes, registered under the customers name";24;1965;4;4;42;2;1;"female";"Worthy";81.875
"yes";"no checking account";"existing credits paid back duly till now";"business";".. >= 1000 Euro";".. >= 7 years";"none";"real estate";"bank";"own";"unskilled - resident";"none";21;1572;4;4;36;1;1;"female";"Worthy";74.85714285714286
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"rent";"unskilled - resident";"yes, registered under the customers name";24;2718;3;4;20;1;1;"female";"Not Worthy";113.25
"yes";"< 0 Euro";"all credits at this bank paid back duly";"others";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"stores";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;1358;4;3;40;1;1;"male";"Not Worthy";56.583333333333336
"yes";"< 200 Euro";"all credits at this bank paid back duly";"car (new)";"100 <= ... < 500 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"stores";"own";"unskilled - resident";"none";6;931;1;1;32;1;1;"female";"Not Worthy";155.16666666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"rent";"skilled employee / official";"none";24;1442;4;4;23;2;1;"female";"Not Worthy";60.083333333333336
"yes";"< 200 Euro";"No credits taken";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";24;4241;1;4;36;3;1;"male";"Not Worthy";176.70833333333334
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"none";18;2775;2;2;31;2;1;"male";"Not Worthy";154.16666666666666
"yes";"no checking account";"delay in paying off in the past";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";24;3863;1;2;32;1;1;"male";"Worthy";160.95833333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"guarantor";"real estate";"none";"own";"skilled employee / official";"none";7;2329;1;1;45;1;1;"female";"Worthy";332.7142857142857
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";9;918;4;1;30;1;1;"female";"Not Worthy";102.0
"yes";"< 200 Euro";"all credits at this bank paid back duly";"education";"... < 100 Euro";"4 <= ... < 7 years";"none";"unknown / no property";"bank";"for free";"unskilled - resident";"none";24;1837;4;4;34;1;1;"female";"Not Worthy";76.54166666666667
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";36;3349;4;2;28;1;1;"female";"Not Worthy";93.02777777777777
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";10;1275;4;2;23;1;1;"female";"Worthy";127.5
"yes";"< 0 Euro";"all credits at this bank paid back duly";"furniture/equipment";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"stores";"own";"skilled employee / official";"yes, registered under the customers name";24;2828;4;4;22;1;1;"male";"Worthy";117.83333333333333
"yes";"no checking account";"critical account/";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;4526;3;2;74;1;1;"male";"Worthy";188.58333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"co-applicant";"unknown / no property";"none";"for free";"skilled employee / official";"none";36;2671;4;4;50;1;1;"female";"Not Worthy";74.19444444444444
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"own";"skilled employee / official";"none";18;2051;4;1;33;1;1;"male";"Worthy";113.94444444444444
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"none";15;1300;4;4;45;1;2;"male";"Worthy";86.66666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"domestic appliances";"100 <= ... < 500 Euro";"unemployed";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;741;4;3;22;1;1;"female";"Not Worthy";61.75
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";".. >= 1000 Euro";"... < 1 year";"none";"car or other";"bank";"own";"skilled employee / official";"none";21;3357;4;2;29;1;1;"female";"Worthy";159.85714285714286
"no";"< 0 Euro";"all credits at this bank paid back duly";"car (used)";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"car or other";"bank";"rent";"skilled employee / official";"none";24;3632;1;4;22;1;1;"female";"Worthy";151.33333333333334
"yes";"no checking account";"delay in paying off in the past";"furniture/equipment";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";18;1808;4;1;22;1;1;"female";"Not Worthy";100.44444444444444
"yes";"< 200 Euro";"No credits taken";"business";"unknown/ no savings account";"1 <= ... < 4 years";"none";"car or other";"bank";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";48;12204;2;2;48;1;1;"male";"Worthy";254.25
"yes";"< 200 Euro";"delay in paying off in the past";"radio/television";"unknown/ no savings account";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"none";60;9157;2;2;27;1;1;"male";"Worthy";152.61666666666667
"yes";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"skilled employee / official";"none";6;3676;1;3;37;3;2;"male";"Worthy";612.6666666666666
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"co-applicant";"car or other";"none";"rent";"skilled employee / official";"none";30;3441;2;4;21;1;1;"female";"Not Worthy";114.7
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;640;4;2;49;1;1;"male";"Worthy";53.333333333333336
"yes";"< 200 Euro";"critical account/";"business";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";21;3652;2;3;27;2;1;"male";"Worthy";173.9047619047619
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"none";18;1530;3;2;32;2;1;"male";"Not Worthy";85.0
"yes";"no checking account";"existing credits paid back duly till now";"business";"unknown/ no savings account";"1 <= ... < 4 years";"none";"real estate";"bank";"own";"skilled employee / official";"none";48;3914;4;2;38;1;1;"male";"Not Worthy";81.54166666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"rent";"skilled employee / official";"none";12;1858;4;1;22;1;1;"female";"Worthy";154.83333333333334
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";18;2600;4;4;65;2;1;"male";"Not Worthy";144.44444444444446
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";15;1979;4;2;35;1;1;"male";"Worthy";131.93333333333334
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";6;2116;2;2;41;1;1;"male";"Worthy";352.6666666666667
"yes";"< 200 Euro";"all credits at this bank paid back duly";"car (new)";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"unknown / no property";"none";"own";"skilled employee / official";"none";9;1437;2;3;29;1;1;"male";"Not Worthy";159.66666666666666
"yes";"no checking account";"critical account/";"furniture/equipment";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";42;4042;4;4;36;2;1;"male";"Worthy";96.23809523809524
"yes";"no checking account";"existing credits paid back duly till now";"education";"unknown/ no savings account";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";9;3832;1;4;64;1;1;"male";"Worthy";425.77777777777777
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";24;3660;2;4;28;1;1;"female";"Worthy";152.5
"yes";"< 0 Euro";"all credits at this bank paid back duly";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";18;1553;4;3;44;1;1;"male";"Not Worthy";86.27777777777777
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";15;1444;4;1;23;1;1;"male";"Worthy";96.26666666666667
